-,PREFIX,NAME,SENSOR HP,SENSOR WP,OUTPUT HP,OUTPUT WP,SIDE HP,SIDE WP,IDLE
#,TBL,TABLE LH,I60.0,I61.0,Q60.6,Q61.6,UP,DOWN,
#,TBL,TABLE RH,I60.1,I61.1,Q60.7,Q61.7,UP,DOWN,
#,TBL,SECTION1,I20.3,I21.3,Q40.0,Q41.0,UP,DOWN,
#,TBL,SECTION2,I30.3,I31.3,Q40.1,Q41.1,UP,DOWN,
#,TBL,SECTION4 LH,I20.4,I21.4,Q40.2,Q41.2,UP,DOWN,
#,TBL,SECTION4 RH,I30.4,I31.4,Q40.3,Q41.3,UP,DOWN,
#,TBL,SECTION5 LH,I20.5,I21.5,Q40.4,Q41.4,UP,DOWN,
#,TBL,SECTION5 RH,I30.5,I31.5,Q40.5,Q41.5,UP,DOWN,
#,TBL,POSITIONING LH,I20.6,I21.6,Q40.6,Q41.6,UP,DOWN,
#,TBL,POSITIONING RH,I30.6,I31.5,Q40.7,Q41.7,UP,DOWN,
#,TBL,PIN LH,I20.1,I21.1,Q1000.0,Q50.5,DOWN,UP,
#,TBL,PIN RH,I30.1,I31.1,Q1000.0,Q51.5,DOWN,UP,
#,TBL,SCREW GRIPPER,I20.2,I21.2,Q1000.0,Q50.4,OPEN,CLOSE,
#,TBL,WRAP GRIPPER,I20.7,I21.7,Q1000.0,Q51.4,OPEN,CLOSE,
#,ST1,POSITIONING,I120.2,I121.2,Q120.6,Q121.6,RIGHT,LEFT,
#,ST1,SWORD,I120.3,I121.3,Q120.7,Q121.7,OPEN,CLOSE,
#,ST2,POSITIONING,I120.0,I121.0,Q120.4,Q121.4,BACK,FRONT,
#,ST2,SWORD,I120.1,I121.1,Q120.5,Q1000.0,UP,DOWN,
#,ST3,POSITIONING,I140.0,1I41.0,Q140.6,Q141.6,BACK,FRONT,
#,ST3,SWORD A SQUEEZING,I1000.0,I130.1,Q1000.0,Q131.4,OPEN,CLOSE,
#,ST3,SWORD A SPREADING,I1000.0,I130.0,Q1000.0,Q130.5,OPEN,CLOSE,
#,ST3,SWORD A OPENING,I1000.0,I131.0,Q1000.0,Q130.4,OPEN,CLOSE,
#,ST3,SWORD B SQUEEZING,I1000.0,I131.2,Q1000.0,Q131.6,OPEN,CLOSE,
#,ST3,SWORD B SPREADING,I1000.0,I131.1,Q1000.0,Q130.7,OPEN,CLOSE,
#,ST3,SWORD B OPENING,I1000.0,I130.2,Q1000.0,Q130.6,OPEN,CLOSE,
#,ST6,CONNECTOR1,I150.4,I151.4,Q160.4,Q161.4,UP,DOWN,
#,ST6,CONNECTOR2,I150.5,I151.5,Q160.5,Q161.5,UP,DOWN,
#,ST6,HOLDFAST LH1,I150.0,I151.0,Q160.0,Q161.0,UP,DOWN,
#,ST6,HOLDFAST LH2,I150.1,I151.1,Q160.1,Q161.1,UP,DOWN,
#,ST6,HOLDFAST RH1,I150.2,I151.2,Q160.2,Q161.2,UP,DOWN,
#,ST6,HOLDFAST RH2,I150.3,I151.3,Q160.3,Q161.3,UP,DOWN,
#,ST6,ROTATION LH,I1000.0,I150.6,Q1000.0,Q160.6,LEFT,RIGHT,
#,ST6,ROTATION RH,I1000.0,I151.6,Q1000.0,Q161.6,RIGHT,LEFT,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
